"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"LINC02750",1.68300097591567,-0.832274271547933,0.900038425262736,-0.924709710371508,0.355116927032734,0.434247574378441,0,0.00161110422605032
"MTNR1B",1.51920378008723,-1.80271942189994,0.934234132291852,-1.92962273544591,0.0536535996828003,NA,0,0.000743586565869377
"NXPE2",1.52067085939558,-1.78544282125368,0.931751515382336,-1.91622207399474,0.055336834809433,NA,0,0.000867517660180939
"AC026369.1",1.55801439158116,-1.45168040486348,0.888726399415018,-1.63343904920459,0.102376689930331,0.171826236421575,0,0.00173503532036188
"AC005908.3",1.63980941971735,-1.02197063322288,0.950065659827687,-1.07568421471863,0.282068509459264,0.362351604097595,0,0.000619655471557814
"AC092745.5",1.63816672797983,-1.01552899589559,0.847625416963913,-1.19808700349394,0.230883147893418,0.309078794669062,0,0.00272648407485438
"AC024901.1",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
"ANP32D",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
"AQP6",1.7017128684058,-0.617613343830771,0.81679086284374,-0.756146244927971,0.449561517954282,0.525332363344648,0,0.0193332507126038
"AC069228.1",1.59167438099085,-1.52447376234802,0.963306721603105,-1.58254243239478,0.113525793553958,0.18370871054133,0,0.000123931094311563
"CASC18",1.52124632240554,-1.78443869161736,0.934127838153407,-1.910272468857,0.0560981406297238,NA,0,0.000495724377246251
"LHX5-AS1",1.76155593103992,-0.908178229113554,0.928046354823618,-0.978591451163191,0.327781884966827,0.407309003213162,0,0.000743586565869377
"AC073912.2",1.53921708594989,-1.65114688829709,0.942048842574477,-1.75271898194234,0.0796502558051929,0.149816634683969,0,0.000371793282934688
"AL159978.1",1.62452909197853,-0.955568721877514,0.894976936216502,-1.06770206382878,0.285654927196296,0.365877226292131,0,0.00408972611228157
"PLUT",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"AL353688.1",1.59980394268261,-1.24849814738085,0.878636260381189,-1.42094994672676,0.155331311199866,0.22936214640052,0,0.00161110422605032
"AL137246.1",1.52651888340832,-1.73752133800448,0.915703021291522,-1.89747254033721,0.0577655996029039,NA,0,0.000991448754492502
"SOX1",1.67294745774452,-1.17382763149875,0.959584473933129,-1.22326659443278,0.22122902007369,0.299251000783299,0,0.000247862188623126
"LINC00645",1.59167438099085,-1.52447376234802,0.963306721603105,-1.58254243239478,0.113525793553958,0.18370871054133,0,0.000123931094311563
"AL355103.1",1.59167438099085,-1.52447376234802,0.963306721603105,-1.58254243239478,0.113525793553958,0.18370871054133,0,0.000123931094311563
"AC087386.1",1.52694641638439,-1.70418270877795,0.940753813808318,-1.81150762693074,0.0700623095306722,NA,0,0.000371793282934688
"GOLGA8S",1.52637095337443,-1.74274395458727,0.918657936084739,-1.89705426376082,0.0578207766656881,NA,0,0.000743586565869377
"NANOGP8",1.53998190690496,-1.60441122199046,0.909947375811663,-1.76319121812879,0.0778682444255072,0.148221847485875,0,0.000867517660180939
"AC090510.4",1.64826154417072,-2.08010386742576,0.941281801214686,-2.20986304498979,0.0271146686662851,0.0790358004191557,0.00210970464135021,0
"AC012404.2",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"ANKRD34C",1.58082111103766,-1.20486375284961,0.903171729836578,-1.33403616726093,0.182192003769685,0.2582464293694,0,0.00582476143264345
